abs.txt		Markgraf, 2005(62)	Critical ST	γc = 35-42 mJ/m2; no temp cited                    Test liquids not known.
abs.txt		Fukuzawa, 1994(113)	Contact angle	θWY = 89.7o; no temp cited                         Contact angle measured after stabilizing for 15 secs.
abs.txt		Johansson, 2006(138)	Contact angle	θWA = 72o; no temp cited                           Ultrasonically cleaned in isopropanol and rinsed with ethanol.
abs.txt		Fukuzawa, 1994(113)	Contact angle	γs = 35.2 mJ/m2 (γsLW = 39.4, γsAB = -4.3,         Test liquids: water, formamide, and diiodomethane; acid-base | γs+ = 0.8, γs- = 5.6); no temp cited               analysis, calculated per Good and Van Oss(86). Contact angles | measured after stabilizing for 15 secs.
abs.txt		Fukuzawa, 1994(113)	Contact angle	γs = 40.5 mJ/m2; no temp cited                     Test liquids: water, formamide, and diiodomethane; acid-base | analysis calculated by arithmetic and geometric means.
abs.txt		Schoff, 2003(263)	Contact angle	γs = 45 mJ/m (γs = 37; γ s = 8); no temp cited Test liquids not known, by geometric mean equation. | 2   d        p | Cycolac GPM 5600.
abs.txt		Schoff, 2003(263)	Contact angle	γs = 51 mJ/m2 (γsd = 40; γ sp = 11); no temp cited Test liquids not known, by geometric mean equation. | Cycoloy C-2950.
abs.txt		Schoff, 2003(263)	Contact angle	γs = 42 mJ/m (γs = 33; γ s = 9); no temp cited Test liquids not known, by geometric mean equation. | 2   d        p | Dow Magnum 344HP.
abs.txt		Top Analytica(60)	Contact angle	γs = 42 mJ/m2 (γsd = 35, γ sp = 8); no temp cited Test liquids: water, diiodomethane, and ethylene glycol, by | by harmonic mean equation.
abs.txt		Top Analytica(60)	Contact angle	γs = 42 mJ/m (γs = 39.4, γs = 2.6, | 2   LW          AB | Test liquids: water, diiodomethane, and ethylene glycol; | γs+ = 1.0, γs- = 1.7); no temp cited               acid-base analysis.
abs.txt		Top Analytica(60)	Contact angle	γs = 38 mJ/m2 (γsd = 34, γ sp = 4); no temp cited Test liquids: water, diiodomethane, and ethylene glycol, by | harmonic mean equation. Prewashed with ionized water.
aluminum_foil.txt		Hansen, 1993(109)	Contact angle	θWY = 84.5o; no temp cited                       Sample aged for one day.
aluminum_foil.txt		Hansen, 1993(109)	Contact angle	θWY = 78o; no temp cited                         Sample aged for 14 days.
